meso_num	plant_id	plant_sp	height_i_cm	height_f_cm	dead_all	above_biomass_g	belowBEF_biomass_g
22	sp8	GSH	0.8	1	NA	0.0009	NA
23	sp1	VAN	1.7	2.2	NA	0.002	NA
23	sp2	VAN	2.8	2.5	dead	0.0084	NA
23	sp3	VAN	2	2.3	NA	0.0057	NA
23	sp4	VAN	1.1	1	NA	0.0019	NA
23	sp5	VAN	0.8	1	NA	not_detected	NA
23	sp6	VAN	4.3	4.6	dead	0.0171	NA
23	sp7	VAN	1	1.2	NA	0.001	NA
23	sp8	VAN	1.2	1.2	NA	0.0007	NA
24	sp1	GPR	0.9	1.2	NA	0.0016	NA
24	sp2	GPR	0.6	1.5	NA	0.0007	NA
24	sp3	GPR	1.5	1.5	NA	0.005	NA
24	sp4	GPR	0.5	0.8	NA	0.0006	NA
24	sp5	GPR	1.5	1.6	NA	0.0034	NA
24	sp6	GPR	0.9	1	NA	0.0009	NA
24	sp7	GPR	1	1.1	NA	0.0019	NA
24	sp8	GPR	1.2	1.1	NA	0.0026	NA
25	sp1	CVU	1.9	2.6	NA	0.004	NA
25	sp2	CVU	0.8	2.4	NA	0.0019	NA
25	sp3	CVU	1	2.9	NA	0.0048	NA
25	sp4	CVU	1.5	3.4	NA	0.0053	NA
25	sp5	CVU	2.7	3.2	NA	0.0035	NA
25	sp6	CVU	1.3	2.2	NA	0.0009	NA
25	sp7	CVU	0.5	0.5	dead	not_detected	NA
25	sp8	CVU	1	2.4	NA	0.0031	NA
26	sp1	VMY	1.2	1.9	NA	0.0016	NA
26	sp2	VMY	0.8	1.3	NA	0.0029	NA
26	sp3	VMY	0.9	1.3	NA	0.0019	NA
26	sp4	VMY	1.9	2.6	NA	0.0085	NA
26	sp5	VMY	1.3	1.8	NA	0.0018	NA
26	sp6	VMY	1.3	1.7	NA	0.0013	NA
26	sp7	VMY	1.4	2	NA	0.0025	NA
26	sp8	VMY	3	3	NA	0.0045	NA
27	sp1	VCO	3	3.1	NA	0.0062	NA
27	sp2	VCO	1.7	1.7	NA	0.0016	NA
27	sp3	VCO	0.6	1.7	NA	0.0024	NA
27	sp4	VCO	2.1	2.3	NA	0.0026	NA
27	sp5	VCO	0.7	1.7	NA	0.0022	NA
27	sp6	VCO	3.1	3.5	NA	0.0061	NA
27	sp7	VCO	3	3.1	NA	0.0036	NA
27	sp8	VCO	1	1.4	NA	0.0007	NA
28	sp1	VVI	1.2	1.5	NA	0.0008	NA
28	sp2	VVI	0.7	1.1	NA	0.0008	NA
28	sp3	VVI	1.2	1.7	NA	0.0009	NA
28	sp4	VVI	1.5	2.2	NA	0.0029	NA
28	sp5	VVI	1.3	1.8	NA	0.0015	NA
28	sp6	VVI	1.5	2	NA	0.002	NA
28	sp7	VVI	2	2.7	NA	0.0044	NA
28	sp8	VVI	1.7	1.3	NA	0.0014	NA
29	sp1	VMA	3.8	4.5	NA	0.0082	NA
29	sp2	VMA	4.8	5.9	NA	0.0176	NA
29	sp3	VMA	4.8	6.1	NA	0.0105	NA
29	sp4	VMA	3.4	4.4	NA	0.0086	NA
29	sp5	VMA	2.8	3.8	NA	0.0087	NA
29	sp6	VMA	3.3	4.7	NA	0.0112	NA
29	sp7	VMA	4.3	4.6	NA	0.0089	NA
29	sp8	VMA	3.7	5.2	NA	0.0105	NA
30	sp1	PJA	1	1.1	NA	0.0026	NA
30	sp2	PJA	3	3.1	NA	0.0378	NA
30	sp3	PJA	0.7	1	NA	0.0029	NA
30	sp4	PJA	3.9	4.1	NA	0.0784	NA
30	sp5	PJA	1.6	1.6	NA	0.0035	NA
30	sp6	PJA	2.7	3.1	NA	0.0157	NA
30	sp7	PJA	0.6	0.9	NA	0.0558	NA
30	sp8	PJA	4.6	4.8	NA	0.132	NA
31	sp1	KLA	2.1	2	NA	0.0305	0.0227
31	sp2	KLA	1.5	1.6	NA	0.0113	NA
31	sp3	KLA	1.8	2.1	NA	0.0301	NA
31	sp4	KLA	0.7	1	NA	0.0025	NA
31	sp5	KLA	0.9	0.8	NA	0.0043	NA
31	sp6	KLA	1.4	1.4	NA	0.0423	NA
31	sp7	KLA	0.3	0.6	NA	0.001	NA
31	sp8	KLA	2.8	1.8	NA	0.0247	NA
32	sp1	GMI	0.3	NA	no_plant	NA	NA
32	sp2	GMI	0.1	0.4	NA	not_detected	NA
32	sp3	GMI	0.6	0.7	NA	not_detected	NA
32	sp4	GMI	0.2	0.6	NA	not_detected	NA
32	sp5	GMI	0.2	0.7	NA	not_detected	NA
32	sp6	GMI	0.5	0.8	NA	not_detected	NA
32	sp7	GMI	0.6	0.7	dead	0.0004	NA
32	sp8	GMI	0.5	0.8	NA	not_detected	NA
33	sp1	GSH	2.8	3.4	NA	0.0058	NA
33	sp2	GSH	5.5	5.8	NA	0.049	NA
33	sp3	GSH	1.1	1.7	NA	0.0031	NA
33	sp4	GSH	3.5	5.3	NA	0.0266	NA
33	sp5	GSH	2.7	3	sick	0.0048	NA
33	sp6	GSH	5	5.3	NA	0.0273	NA
33	sp7	GSH	4.1	4.2	NA	0.0128	NA
33	sp8	GSH	1.2	3.1	NA	0.0026	NA
34	sp1	VAN	2.5	2.6	NA	0.0088	0.0337
34	sp2	VMY	1.2	1.3	NA	0.0006	NA
34	sp3	VAN	0.7	0.8	NA	0.0006	NA
34	sp4	VMY	1.1	1.4	NA	0.0016	NA
34	sp5	VAN	2	1.5	no_leaves	0.0021	NA
34	sp6	VMY	1.3	1.5	NA	0.0017	NA
34	sp7	VAN	1.8	1.5	no_leaves	0.0064	NA
34	sp8	VMY	1.7	1.7	NA	0.0024	NA
35	sp1	VAN	2.1	2.6	no_leaves	0.0063	0.0282
35	sp2	VCO	1	0.8	dead	not_detected	NA
35	sp3	VAN	1.4	1.3	NA	0.0031	NA
35	sp4	VCO	1.2	1.2	dead;no_leaves	0.0007	NA
35	sp5	VAN	1	1.1	NA	0.0017	NA
35	sp6	VCO	1.3	2	NA	0.0027	NA
35	sp7	VAN	1.8	1.6	NA	0.0054	NA
35	sp8	VCO	1.5	1.5	no_leaves	0.0053	NA
36	sp1	GPR	1.2	2.1	NA	0.0035	NA
36	sp2	VVI	1.3	2.2	NA	0.008	NA
36	sp3	GPR	1.2	2.5	NA	0.0043	NA
36	sp4	VVI	1.8	2.1	NA	0.0097	NA
36	sp5	GPR	0.8	1.1	NA	0.0011	NA
36	sp6	VVI	2.1	2.7	NA	0.018	NA
36	sp7	GPR	0.9	1	NA	0.0017	NA
36	sp8	VVI	3.4	3.4	NA	0.0133	NA
37	sp1	GPR	0.5	2.1	NA	0.0019	NA
37	sp2	VMA	2	2.8	NA	0.0048	NA
37	sp3	GPR	1	1.6	NA	0.0024	NA
37	sp4	VMA	4.1	5.1	NA	0.0127	NA
37	sp5	GPR	2	3.2	NA	0.0076	NA
37	sp6	VMA	3.2	3.8	NA	0.0094	NA
37	sp7	GPR	0.9	1.5	NA	0.0024	NA
37	sp8	VMA	1.7	2	NA	0.0039	NA
38	sp1	VAN	2.4	2.9	NA	0.0031	0.0359
38	sp2	KLA	1.5	1.2	NA	0.0017	NA
38	sp3	VAN	1.2	1.6	NA	0.0022	NA
38	sp4	KLA	0.6	1.2	NA	0.0057	NA
38	sp5	VAN	1.8	1.9	no_leaves	0.0044	NA
38	sp6	KLA	1.6	2.1	NA	0.0107	NA
38	sp7	VAN	2	2.5	NA	0.0048	NA
38	sp8	KLA	1.1	1.8	NA	0.0061	NA
39	sp1	GPR	0.4	0.7	NA	not_detected	0.0052
39	sp2	GMI	0.2	0.4	NA	not_detected	NA
39	sp3	GPR	1.2	1.6	NA	0.0012	NA
39	sp4	GMI	0.4	0.3	NA	not_detected	NA
39	sp5	GPR	1.5	2.1	NA	0.0038	NA
39	sp6	GMI	0.3	0.7	NA	not_detected	NA
39	sp7	GPR	1.2	2.3	NA	0.0039	NA
39	sp8	GMI	0.3	0.6	NA	not_detected	NA
40	sp1	GPR	0.9	1.5	NA	0.0025	NA
40	sp2	GSH	4	5	NA	0.015	NA
40	sp3	GPR	0.6	1	NA	0.0018	NA
40	sp4	GSH	6.4	7.3	NA	0.0464	NA
40	sp5	GPR	1	1.2	NA	0.0023	NA
40	sp6	GSH	5.5	6	NA	0.0228	NA
40	sp7	GPR	0.7	1	NA	0.001	NA
40	sp8	GSH	1.6	2.2	NA	0.0026	NA
41	sp1	CVU	1.1	1.6	NA	0.0009	0.0237
41	sp2	VCO	2.1	2.4	NA	0.0022	NA
41	sp3	CVU	0.4	0.8	NA	0.0004	NA
41	sp4	VCO	2.4	3.2	NA	0.0047	NA
41	sp5	CVU	0.4	1.8	NA	0.0011	NA
41	sp6	VCO	1.5	1.8	NA	0.0037	NA
41	sp7	CVU	1	1.3	NA	0.002	NA
41	sp8	VCO	2	2.8	NA	0.0062	NA
42	sp1	CVU	0.4	0.5	NA	not_detected	NA
42	sp2	VVI	1.5	1.5	NA	0.001	NA
42	sp3	CVU	0.5	0.9	NA	0.008	NA
42	sp4	VVI	2.1	2.4	NA	0.0129	NA
42	sp5	CVU	3.5	4.2	NA	0.03	NA
42	sp6	VVI	1.5	1.5	NA	0.0017	NA
42	sp7	CVU	0.3	0.7	NA	not_detected	NA
42	sp8	VVI	1	1.2	NA	0.0015	NA
43	sp1	CVU	1.1	1.3	NA	0.0008	NA
43	sp2	VMA	4	4	NA	0.0065	NA
43	sp3	CVU	0.8	1	NA	0.0012	NA
43	sp4	VMA	2.5	2.6	NA	0.0024	NA
43	sp5	CVU	0.7	0.7	NA	not_detected	NA
43	sp6	VMA	4.4	3.5	NA	0.0051	NA
43	sp7	CVU	0.3	0.5	NA	0.0054	NA
43	sp8	VMA	4.8	4.7	NA	0.0075	NA
44	sp1	CVU	3.5	3.9	NA	0.0308	NA
44	sp2	PJA	1.9	2.2	NA	0.004	NA
44	sp3	CVU	1.5	2.6	NA	0.0124	NA
44	sp4	PJA	0.5	0.6	NA	0.0005	NA
44	sp5	CVU	1.4	1.7	NA	0.0065	NA
44	sp6	PJA	0.3	0.5	NA	0.0001	NA
44	sp7	CVU	7.4	8	NA	0.3183	NA
44	sp8	PJA	0.3	0.3	NA	not_detected	NA
45	sp1	VMY	1.1	1.2	NA	0.0012	0.0088
45	sp2	GMI	0.5	0.9	NA	0.0006	NA
45	sp3	VMY	1	1.1	NA	0.0016	NA
45	sp4	GMI	0.2	0.3	NA	NA	NA
45	sp5	VMY	1.4	1.4	NA	0.0018	NA
45	sp6	GMI	0.9	1.5	NA	0.0013	NA
45	sp7	VMY	4	3.5	NA	0.0084	NA
45	sp8	GMI	0.1	0.4	NA	not_detected	NA
46	sp1	CVU	1.7	2.2	NA	0.002	0.0168
46	sp2	GSH	1.5	4.3	NA	0.0148	NA
46	sp3	CVU	0.6	0.6	NA	0.0009	NA
46	sp4	GSH	1.3	1.7	NA	0.0015	NA
46	sp5	CVU	1	1.1	NA	not_detected	NA
46	sp6	GSH	1.2	1.8	NA	0.0012	NA
46	sp7	CVU	0.9	2	NA	0.0021	NA
46	sp8	GSH	1	2.1	NA	0.0029	NA
47	sp1	VCO	1.2	1.2	NA	0.0011	NA
47	sp2	VVI	4.1	4.2	NA	0.0116	NA
47	sp3	VCO	0.4	0.5	NA	not_detected	NA
47	sp4	VVI	2.1	2.4	NA	0.0026	NA
47	sp5	VCO	2.9	2.4	NA	0.007	NA
47	sp6	VVI	3.6	3.5	NA	0.0093	NA
47	sp7	VCO	0.6	1.3	NA	0.001	NA
47	sp8	VVI	4.2	4.3	NA	0.0076	NA
48	sp1	VCO	4.4	4.8	NA	0.0076	NA
48	sp2	VMA	2.7	2.7	NA	0.0023	NA
48	sp3	VCO	2	2.8	NA	0.0026	NA
48	sp4	VMA	1.7	1.8	NA	0.0026	NA
48	sp5	VCO	2.7	5	NA	0.0051	NA
48	sp6	VMA	3	3.5	NA	0.0053	NA
48	sp7	VCO	4.5	5.9	NA	0.0143	NA
48	sp8	VMA	1	1.4	NA	0.0022	NA
49	sp1	VCO	3.2	4.2	NA	0.0072	NA
49	sp2	KLA	0.7	0.8	NA	0.0052	NA
49	sp3	VCO	2.4	4.2	NA	0.0085	NA
49	sp4	KLA	1.2	1.6	sick	0.0108	NA
49	sp5	VCO	1.7	3.7	dead;no_leaves	0.0033	NA
49	sp6	KLA	2.1	2.3	NA	0.0082	NA
49	sp7	VCO	1.5	1.9	NA	0.0015	NA
49	sp8	KLA	1.2	1.2	NA	0.0025	NA
50	sp1	VCO	3.1	3.7	NA	0.0051	NA
50	sp2	GMI	0.5	0.7	NA	0.0007	NA
50	sp3	VCO	2.5	3.3	NA	0.0112	NA
50	sp4	GMI	0.6	0.6	NA	0.0005	NA
50	sp5	VCO	2	2.4	NA	0.0035	NA
50	sp6	GMI	1	1.5	NA	0.001	NA
50	sp7	VCO	3.7	4.4	NA	0.0109	NA
50	sp8	GMI	0.7	1.3	NA	0.0007	NA
51	sp1	VCO	3.7	4	NA	0.022	0.0202
51	sp2	GSH	2.7	2.9	NA	0.0034	NA
51	sp3	VCO	2.1	2.4	NA	0.0028	NA
51	sp4	GSH	2	2.8	dead	0.001	NA
51	sp5	VCO	2.2	2.7	NA	0.0026	NA
51	sp6	GSH	0.5	0.6	NA	0.0004	NA
51	sp7	VCO	0.7	1.5	sick	0.0017	NA
51	sp8	GSH	1.5	1.8	NA	0.0016	NA
52	sp1	VVI	3.9	4	NA	0.0089	NA
52	sp2	VMA	2.2	2	sick	0.0021	NA
52	sp3	VVI	3.3	3.9	NA	0.0036	NA
52	sp4	VMA	3.3	3.4	NA	0.0033	NA
52	sp5	VVI	4.7	4.6	NA	0.0069	NA
52	sp6	VMA	0.9	1.5	NA	0.0009	NA
52	sp7	VVI	3.8	4	NA	0.0068	NA
52	sp8	VMA	1.7	1.8	NA	0.0016	NA
53	sp1	VVI	1	1.7	NA	0.0015	NA
53	sp2	KLA	1.5	2	NA	0.0053	NA
53	sp3	VVI	2.2	3.4	NA	0.0028	NA
53	sp4	KLA	1	1.3	NA	0.0015	NA
53	sp5	VVI	1.6	1.6	NA	0.0023	NA
53	sp6	KLA	3.1	2.5	sick	0.0135	NA
53	sp7	VVI	1.7	2.1	NA	0.0026	NA
53	sp8	KLA	0.7	0.9	NA	0.0036	NA
54	sp1	VVI	2	2.9	NA	0.0029	0.0056
54	sp2	GMI	0.4	0.7	NA	not_detected	NA
54	sp3	VVI	1	1.4	NA	0.0014	NA
54	sp4	GMI	0.3	0.4	NA	not_detected	NA
54	sp5	VVI	1.9	2	NA	0.0025	NA
54	sp6	GMI	0.3	0.7	NA	not_detected	NA
54	sp7	VVI	1.4	2.4	NA	0.004	NA
54	sp8	GMI	0.1	0.5	NA	not_detected	NA
55	sp1	VVI	2.5	3.2	NA	0.0044	NA
55	sp2	GSH	2	2.7	NA	0.0029	NA
55	sp3	VVI	3.2	3.9	NA	0.0074	NA
55	sp4	GSH	1.1	2	NA	0.0012	NA
55	sp5	VVI	1.7	2.2	NA	0.003	NA
55	sp6	GSH	1.8	2.9	NA	0.0026	NA
55	sp7	VVI	1.2	2.2	NA	0.0013	NA
55	sp8	GSH	0.5	1.9	NA	0.0015	NA
56	sp1	VMA	1.8	1.5	NA	0.0053	NA
56	sp2	KLA	3.2	3.8	NA	0.01	NA
56	sp3	VMA	2.5	2.3	NA	0.0031	NA
56	sp4	KLA	3.4	3.4	NA	0.006	NA
56	sp5	VMA	2.4	2.4	NA	0.003	NA
56	sp6	KLA	3.3	3.1	NA	0.0044	NA
56	sp7	VMA	1.6	1.8	NA	0.0026	NA
56	sp8	KLA	4.7	4.9	NA	0.0056	NA
57	sp1	VMA	0.8	1.5	NA	0.0006	NA
57	sp2	GMI	3.9	4.4	NA	0.0059	NA
57	sp3	VMA	1.7	2.4	NA	0.0033	NA
57	sp4	GMI	5	5.6	NA	0.007	NA
57	sp5	VMA	2	2.8	NA	0.0028	NA
57	sp6	GMI	2	2.8	NA	0.001	NA
57	sp7	VMA	2.8	3	NA	0.0036	NA
57	sp8	GMI	3.1	3.7	NA	0.0042	NA
58	sp1	VMA	3.2	4.1	NA	0.0043	0.0547
58	sp2	GSH	1.4	1.4	NA	0.0027	NA
58	sp3	VMA	3.8	4.3	NA	0.0087	NA
58	sp4	GSH	0.7	1.5	NA	0.0014	NA
58	sp5	VMA	2	4.2	NA	0.0026	NA
58	sp6	GSH	2.5	2.5	NA	0.0062	NA
58	sp7	VMA	2.9	3.3	NA	0.0079	NA
58	sp8	GSH	6	7	NA	0.0374	NA
59	sp1	KLA	1.1	2.1	NA	0.0118	NA
59	sp2	GMI	0.7	0.7	NA	0.0005	NA
59	sp3	KLA	1.2	1.3	NA	0.0012	NA
59	sp4	GMI	0.8	1.2	NA	0.0008	NA
59	sp5	KLA	0.4	0.5	NA	0.0008	NA
59	sp6	GMI	0.6	1.4	NA	0.0007	NA
59	sp7	KLA	1.2	1.6	NA	0.0053	NA
59	sp8	GMI	0.2	0.3	NA	not_detected	NA
60	sp1	KLA	0.7	1	NA	0.0014	NA
60	sp2	GSH	2.9	3.2	NA	0.013	NA
60	sp3	KLA	0.9	1.4	NA	0.0023	NA
60	sp4	GSH	2.1	3.4	NA	0.0065	NA
60	sp5	KLA	1	1.7	NA	0.0031	NA
60	sp6	GSH	2.8	4.3	NA	0.009	NA
60	sp7	KLA	1	1.4	NA	0.0048	NA
60	sp8	GSH	1.5	2.1	NA	0.0038	NA
61	sp1	GMI	1.2	1.3	NA	0.0014	NA
61	sp2	GSH	2.8	3.4	NA	0.0072	NA
61	sp3	GMI	0.3	NA	no_plant	NA	NA
61	sp4	GSH	2.1	2.5	NA	0.0056	NA
61	sp5	GMI	1	1	NA	not_detected	NA
61	sp6	GSH	2.4	2.9	NA	0.006	NA
